label,numThreads,gpuEnable,rep,elapsed_s
CPU12,12,0,1,164.482016
CPU12,12,0,2,159.310632
CPU12,12,0,3,164.500364
GPU,1,1,1,78.293953
GPU,1,1,2,78.014300
GPU,1,1,3,77.785870
GPU+1CPU,2,1,1,69.475587
GPU+1CPU,2,1,2,68.732897
GPU+1CPU,2,1,3,69.498160
GPU+2CPU,3,1,1,65.490016
GPU+2CPU,3,1,2,65.759025
GPU+2CPU,3,1,3,65.142316
GPU+4CPU,5,1,1,61.544787
GPU+4CPU,5,1,2,62.382149
GPU+4CPU,5,1,3,62.021702
GPU+8CPU,9,1,1,57.039705
GPU+8CPU,9,1,2,56.887766
GPU+8CPU,9,1,3,57.106757
GPU+11CPU,12,1,1,54.177547
GPU+11CPU,12,1,2,54.521073
GPU+11CPU,12,1,3,55.126691
