label,numThreads,gpuEnable,diffT,pixT,rep,elapsed_s
CPU12,12,0,0.05,32768,1,160.507469
CPU12,12,0,0.05,32768,2,164.476737
CPU12,12,0,0.05,32768,3,164.370677
GPU,1,1,0.05,32768,1,77.297514
GPU,1,1,0.05,32768,2,77.355612
GPU,1,1,0.05,32768,3,77.143754
GPU+11CPU,12,1,0.05,32768,1,52.947289
GPU+11CPU,12,1,0.05,32768,2,52.823704
GPU+11CPU,12,1,0.05,32768,3,53.952245
CPU12,12,0,0.1,32768,1,164.373305
CPU12,12,0,0.1,32768,2,163.297583
CPU12,12,0,0.1,32768,3,164.024280
GPU,1,1,0.1,32768,1,77.310610
GPU,1,1,0.1,32768,2,77.122907
GPU,1,1,0.1,32768,3,77.100191
GPU+11CPU,12,1,0.1,32768,1,51.738564
GPU+11CPU,12,1,0.1,32768,2,53.374028
GPU+11CPU,12,1,0.1,32768,3,53.443317
CPU12,12,0,0.2,32768,1,164.614700
CPU12,12,0,0.2,32768,2,163.644460
CPU12,12,0,0.2,32768,3,163.379835
GPU,1,1,0.2,32768,1,77.262830
GPU,1,1,0.2,32768,2,77.100943
GPU,1,1,0.2,32768,3,77.058852
GPU+11CPU,12,1,0.2,32768,1,52.761378
GPU+11CPU,12,1,0.2,32768,2,52.927883
GPU+11CPU,12,1,0.2,32768,3,53.877297
CPU12,12,0,0.3,32768,1,163.873379
CPU12,12,0,0.3,32768,2,163.267487
CPU12,12,0,0.3,32768,3,163.584920
GPU,1,1,0.3,32768,1,77.042932
GPU,1,1,0.3,32768,2,77.122982
GPU,1,1,0.3,32768,3,77.266247
GPU+11CPU,12,1,0.3,32768,1,52.654973
GPU+11CPU,12,1,0.3,32768,2,53.769886
GPU+11CPU,12,1,0.3,32768,3,53.476038
