frame,dgpu_vs_igpu_AE,dgpu_vs_cpu_AE,igpu_vs_cpu_AE
0000,0,112873,112873
0001,0,119592,119592
0002,2,122917,122917
0003,24,124552,124552
0004,29,126435,126434
0005,49,127779,127780
0006,104,128071,128071
0007,127,129472,129471
0008,156,130669,130666
0009,153,132118,132119
0010,200,133463,133466
0011,216,134014,134018
0012,243,134606,134604
0013,291,135734,135729
0014,305,136908,136907
0015,357,137477,137476
0016,389,137025,137019
0017,365,135971,135973
0018,381,135374,135373
0019,429,134838,134841
0020,407,134369,134373
0021,435,134336,134326
0022,460,134722,134720
0023,494,136272,136274
0024,506,137067,137062
0025,479,138171,138171
0026,503,137205,137208
0027,564,137567,137562
0028,521,136422,136424
0029,568,136247,136247
0030,575,137451,137451
0031,590,137928,137923
0032,594,138060,138053
0033,647,137430,137433
0034,659,136266,136265
0035,710,133827,133825
0036,705,132306,132302
0037,612,131063,131063
0038,715,128891,128898
0039,661,126723,126725
0040,719,125386,125377
0041,708,126453,126446
0042,700,126086,126081
0043,735,127187,127187
0044,745,128673,128671
0045,747,130165,130166
0046,790,131145,131138
0047,775,133002,132999
0048,797,134721,134724
0049,843,136195,136195
0050,875,138509,138508
0051,913,141232,141239
0052,900,143717,143714
0053,901,145851,145851
0054,1007,149636,149636
0055,1083,153566,153570
0056,1020,156663,156666
0057,1117,159724,159723
0058,1215,163150,163158
0059,1212,166068,166076
0060,1260,170982,170980
0061,1383,174734,174727
0062,1327,176277,176270
0063,1410,176310,176311
0064,1343,175586,175587
0065,1436,176749,176748
0066,1443,176501,176500
0067,1433,177395,177389
0068,1498,176764,176759
0069,1475,177650,177664
0070,1632,176145,176148
0071,1633,171267,171269
0072,1578,168019,168017
0073,1654,167708,167706
0074,1658,170891,170891
0075,1753,176105,176094
0076,1816,178688,178685
0077,1792,183750,183740
0078,1925,190194,190194
0079,1991,198537,198533
0080,2126,205920,205922
0081,2276,210132,210139
0082,2290,219440,219438
0083,2488,232224,232245
0084,2760,243356,243360
0085,2848,259128,259104
0086,2985,271156,271150
0087,2971,275427,275430
0088,3089,265340,265346
0089,2560,234582,234587
0090,1590,206156,206160
0091,960,160015,160018
0092,1087,172883,172878
0093,1269,199054,199044
0094,1497,232236,232229
0095,1786,278045,278039
0096,2355,332450,332443
0097,2177,386804,386811
0098,740,409117,409123
0099,34,267983,267982
