binary,config,numThreads,gpuMode,rep,elapsed_s
base,gpuonly,1,1,1,77.048560
gp,gpuonly,1,1,1,44.934474
base,hybrid,12,1,1,29.079039
gp,hybrid,12,1,1,25.592813
base,cpu12,12,0,1,35.056954
gp,cpu12,12,0,1,37.284991
base,gpuonly,1,1,2,78.193589
gp,gpuonly,1,1,2,40.002800
base,hybrid,12,1,2,29.832559
gp,hybrid,12,1,2,23.715796
base,cpu12,12,0,2,35.803626
gp,cpu12,12,0,2,36.237922
base,gpuonly,1,1,3,78.234811
gp,gpuonly,1,1,3,40.139840
base,hybrid,12,1,3,29.824453
gp,hybrid,12,1,3,23.714417
base,cpu12,12,0,3,35.746923
gp,cpu12,12,0,3,35.770966
