config,block,rep,wall_e2e_s,laptop_s,ivy_s
laptop_hybrid,,1,18.367030,18.367030,
2node_cyclic,1,1,46.310,10.123180,42.042902
2node_bc8,8,1,44.045,9.976040,40.887380
2node_block,50,1,63.905,5.673404,60.286927
2node_block_rev,50,1,27.580,12.474376,24.064844
laptop_hybrid,,2,18.884707,18.884707,
2node_cyclic,1,2,46.256,10.359138,41.833157
2node_bc8,8,2,45.211,9.807524,41.753957
2node_block,50,2,67.059,5.813919,63.164612
2node_block_rev,50,2,28.692,12.640667,25.555775
laptop_hybrid,,3,19.007683,19.007683,
2node_cyclic,1,3,48.141,10.511402,44.122836
2node_bc8,8,3,45.744,9.940297,41.978216
2node_block,50,3,64.395,5.601420,61.187931
2node_block_rev,50,3,28.445,12.433445,24.968527
ivy_solo,,1,85.475938,,85.475938
