config,rep,wall_e2e_s,laptop_s,yeco_s,laptop_frames,yeco_frames
laptop_hybrid,1,18.343987,18.343987,,100,
weighted_static,1,6.154,3.762002,4.177758,21,79
dyn_14,1,6.854,5.966,4.499,32,68
dyn_11,1,12.724,8.480,4.711,37,63
laptop_hybrid,2,21.103088,21.103088,,100,
weighted_static,2,6.561,4.369310,4.188709,21,79
dyn_14,2,8.324,6.186,4.467,32,68
dyn_11,2,9.872,9.087,5.009,37,63
laptop_hybrid,3,20.760466,20.760466,,100,
weighted_static,3,6.637,4.487221,4.194633,21,79
dyn_14,3,8.165,6.575,4.428,32,68
dyn_11,3,10.112,8.831,4.716,37,63
