l_s_per_frame,yeco_frames,compute_wall_s
0.000,80.321,4.1365
0.001,80.015,4.2008
0.002,79.712,4.2646
0.003,79.411,4.3279
0.004,79.112,4.3907
0.005,78.815,4.4531
0.006,78.521,4.5149
0.007,78.229,4.5764
0.008,77.938,4.6373
0.009,77.651,4.6979
0.010,77.365,4.7579
0.011,77.081,4.8176
0.012,76.799,4.8768
0.013,76.520,4.9355
0.014,76.242,4.9939
0.015,75.967,5.0518
0.016,75.693,5.1093
0.017,75.422,5.1664
0.018,75.152,5.2231
0.019,74.884,5.2793
0.020,74.618,5.3352
0.021,74.354,5.3907
0.022,74.092,5.4458
0.023,73.832,5.5005
0.024,73.574,5.5548
0.025,73.317,5.6088
0.026,73.062,5.6623
0.027,72.809,5.7155
0.028,72.558,5.7683
0.029,72.308,5.8208
0.030,72.060,5.8729
0.031,71.814,5.9247
0.032,71.570,5.9761
0.033,71.327,6.0271
0.034,71.086,6.0778
0.035,70.846,6.1282
0.036,70.608,6.1782
0.037,70.372,6.2279
0.038,70.137,6.2772
0.039,69.904,6.3263
0.040,69.672,6.3750
0.041,69.442,6.4234
0.042,69.213,6.4714
0.043,68.986,6.5192
0.044,68.760,6.5666
0.045,68.536,6.6137
0.046,68.313,6.6605
0.047,68.092,6.7071
0.048,67.872,6.7533
0.049,67.654,6.7992
0.050,67.437,6.8448
0.051,67.221,6.8902
0.052,67.007,6.9352
0.053,66.794,6.9799
0.054,66.582,7.0244
0.055,66.372,7.0686
0.056,66.163,7.1125
0.057,65.955,7.1562
0.058,65.749,7.1995
0.059,65.544,7.2426
0.060,65.340,7.2855
0.061,65.138,7.3280
0.062,64.937,7.3703
0.063,64.737,7.4123
0.064,64.538,7.4541
0.065,64.340,7.4957
0.066,64.144,7.5369
0.067,63.949,7.5779
0.068,63.755,7.6187
0.069,63.562,7.6592
0.070,63.371,7.6995
0.071,63.180,7.7396
0.072,62.991,7.7794
0.073,62.803,7.8189
0.074,62.615,7.8582
0.075,62.429,7.8973
0.076,62.245,7.9362
0.077,62.061,7.9748
0.078,61.878,8.0132
0.079,61.697,8.0514
0.080,61.516,8.0893
0.081,61.336,8.1271
0.082,61.158,8.1646
0.083,60.981,8.2019
0.084,60.804,8.2390
0.085,60.629,8.2758
0.086,60.454,8.3125
0.087,60.281,8.3489
0.088,60.109,8.3852
0.089,59.937,8.4212
0.090,59.767,8.4570
0.091,59.597,8.4926
0.092,59.429,8.5280
0.093,59.261,8.5633
0.094,59.095,8.5983
0.095,58.929,8.6331
0.096,58.764,8.6677
0.097,58.601,8.7022
0.098,58.438,8.7364
0.099,58.276,8.7705
0.100,58.114,8.8043
